Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),EBL,Application Load Balancer,0,44.53,534.36,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),VPC,Amazon Virtual Private Cloud (VPC),0,37.35,448.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),EC2,Amazon EC2,688,10.2,810.40,USD,"Operating system (Linux), Quantity (4), Pricing strategy (Standard Reserved Instances 1 Year Full Upfront), Storage for each EC2 instance (Provisioned IOPS SSD (io2)), Storage amount (20 GB), Provisioning IOPS io2 (10), Instance type (t4g.medium)"
My Estimate,US East (N. Virginia),RDS,Amazon RDS for PostgreSQL,3728,230,6488.00,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year All Upfront), Storage volume (General Purpose SSD (gp2)), Storage amount (500 GB per month), Instance type (db.m5.large)"
My Estimate,US East (N. Virginia),S3,S3 Standard,0,23.55,282.60,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),S3,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),Data Transfer,AWS Data Transfer,0,20.48,245.76,USD,"DT Inbound: Internet (2 TB per month), DT Inbound: All other regions (2 TB per month), DT Outbound: Amazon CloudFront (1 TB per month), DT Intra-Region: (1 TB per month), Data transfer cost (20.48)"
